,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
113831,2,2016-06-01 03:40:47,2016-06-01 04:02:38,5,19.17,-73.95021057128906,40.783958435058594,2,N,-73.77632141113281,40.645729064941406,1,52.0,0.0,0.5,14.58,5.54,0.3,72.92
113882,2,2016-06-01 05:16:03,2016-06-01 05:35:48,2,16.43,-73.97799682617188,40.74581146240234,2,N,-73.78141784667969,40.64800643920898,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34
113914,2,2016-06-01 04:47:35,2016-06-01 05:15:02,3,18.04,-73.98502349853516,40.72386169433594,2,N,-73.77857971191406,40.64508819580078,1,52.0,0.0,0.5,11.67,5.54,0.3,70.01
114015,1,2016-06-01 05:16:34,2016-06-01 05:45:11,1,17.7,-73.98043060302734,40.77795028686523,2,N,-73.78575134277344,40.643287658691406,1,52.0,0.0,0.5,7.5,0.0,0.3,60.3
114030,1,2016-06-01 05:16:49,2016-06-01 05:42:29,1,19.1,-73.95201873779298,40.78157806396485,2,N,-73.7789764404297,40.64509582519531,1,52.0,0.0,0.5,6.0,5.54,0.3,64.34
114033,1,2016-06-01 05:16:54,2016-06-01 05:41:52,1,16.7,-73.9820785522461,40.73672103881836,2,N,-73.789306640625,40.647159576416016,1,52.0,0.0,0.5,11.65,5.54,0.3,69.99
114076,2,2016-06-01 04:48:09,2016-06-01 05:17:21,1,17.18,-73.99356842041014,40.75231170654297,2,N,-73.78260803222656,40.644081115722656,1,52.0,0.0,0.5,11.67,5.54,0.3,70.01
114078,1,2016-06-01 04:48:11,2016-06-01 05:22:36,1,20.2,-73.98161315917969,40.78041458129883,2,N,-73.7874984741211,40.64583587646485,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34
114083,1,2016-06-01 04:48:19,2016-06-01 05:17:42,1,18.2,-73.99694061279298,40.76272964477539,2,N,-73.77669525146483,40.644775390625,1,52.0,0.0,0.5,11.65,5.54,0.3,69.99
114127,2,2016-06-01 04:11:36,2016-06-01 04:43:31,1,18.09,-73.98524475097656,40.75913619995117,2,N,-73.78253173828125,40.64413833618164,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34
114239,1,2016-06-01 04:49:33,2016-06-01 05:17:15,1,18.3,-73.9765625,40.785499572753906,2,N,-73.80715942382812,40.65848922729492,1,52.0,0.0,0.5,11.65,5.54,0.3,69.99
114277,1,2016-06-01 04:12:37,2016-06-01 04:33:46,2,16.6,-73.97096252441406,40.751441955566406,2,N,-73.78204345703125,40.64422607421875,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34
114285,2,2016-06-01 04:12:47,2016-06-01 04:36:29,4,17.96,-73.969970703125,40.76288604736328,2,N,-73.77644348144531,40.64592742919922,1,52.0,0.0,0.5,14.58,5.54,0.3,72.92
114297,1,2016-06-01 04:13:03,2016-06-01 04:32:58,1,15.9,-73.96160888671875,40.76435089111328,2,N,-73.80262756347656,40.64761734008789,1,52.0,0.0,0.5,11.65,5.54,0.3,69.99
114336,2,2016-06-01 05:18:36,2016-06-01 05:45:48,2,16.32,-73.98362731933594,40.75102996826172,2,N,-73.7828826904297,40.6440315246582,1,52.0,0.0,0.5,11.67,5.54,0.3,70.01
114339,1,2016-06-01 05:18:42,2016-06-01 05:38:00,1,17.3,-73.96839904785155,40.755046844482415,2,N,-73.7764663696289,40.64525985717773,1,52.0,0.0,0.5,7.66,5.54,0.3,66.0
114412,2,2016-06-01 04:51:10,2016-06-01 05:13:13,1,16.64,-73.97473907470702,40.75249481201172,2,N,-73.78241729736328,40.64877700805664,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34
114484,1,2016-06-01 04:14:46,2016-06-01 04:38:16,1,17.4,-73.9972915649414,40.71290969848633,2,N,-73.78630828857422,40.64423370361328,1,52.0,0.0,0.5,10.56,0.0,0.3,63.36
114510,2,2016-06-01 03:46:32,2016-06-01 04:18:10,1,21.82,-73.98286437988281,40.761573791503906,2,N,-73.79033660888672,40.64466857910156,1,52.0,0.0,0.5,11.67,5.54,0.3,70.01
114514,2,2016-06-01 03:46:38,2016-06-01 04:13:24,1,16.88,-73.97673034667969,40.75130081176758,2,N,-73.7898712158203,40.64694595336913,1,52.0,0.0,0.5,11.67,5.54,0.3,70.01
114559,2,2016-06-01 05:19:23,2016-06-01 05:44:34,2,18.58,-73.95014953613281,40.77720642089844,2,N,-73.78329467773438,40.64386367797852,1,52.0,0.0,0.5,11.67,5.54,0.3,70.01
114583,2,2016-06-01 04:51:50,2016-06-01 05:13:31,1,16.02,-73.98035430908203,40.746849060058594,2,N,-73.78998565673827,40.64690017700195,1,52.0,0.0,0.5,10.0,5.54,0.3,68.34
114592,2,2016-06-01 04:52:04,2016-06-01 05:15:43,5,16.25,-73.98213958740234,40.749061584472656,2,N,-73.78327941894531,40.64382934570313,1,52.0,0.0,0.5,0.0,5.54,0.3,58.34
114605,1,2016-06-01 04:52:25,2016-06-01 05:13:29,2,17.2,-73.98869323730467,40.71926879882813,2,N,-73.78284454345702,40.644004821777344,1,52.0,0.0,0.5,10.55,0.0,0.3,63.35
114658,2,2016-06-01 04:15:23,2016-06-01 04:45:59,6,19.56,-74.00969696044923,40.71249008178711,2,N,-73.78193664550781,40.64436340332031,1,52.0,0.0,0.5,10.56,0.0,0.3,63.36
114748,1,2016-06-01 05:20:05,2016-06-01 05:49:39,1,20.4,-73.96077728271484,40.77587890625,2,N,-73.78719329833984,40.64666366577149,1,52.0,0.0,0.5,11.65,5.54,0.3,69.99
114783,2,2016-06-01 04:53:13,2016-06-01 05:19:19,1,17.95,-73.98641204833984,40.75921249389648,2,N,-73.77642822265625,40.64562606811523,1,52.0,0.0,0.5,11.67,5.54,0.3,70.01
114785,2,2016-06-01 04:53:16,2016-06-01 05:27:56,1,18.17,-73.98113250732422,40.781898498535156,2,N,-73.78845977783203,40.64131927490234,1,52.0,0.0,0.5,15.84,0.0,0.3,68.64
114791,1,2016-06-01 04:53:24,2016-06-01 05:19:53,1,17.4,-73.97824859619139,40.755683898925774,2,N,-73.77804565429686,40.64684677124024,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34
114792,1,2016-06-01 04:53:26,2016-06-01 05:16:02,1,16.2,-73.9818115234375,40.751502990722656,2,N,-73.7832489013672,40.64382553100585,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34
114868,1,2016-06-01 04:17:52,2016-06-01 04:51:40,4,17.4,-73.98554229736328,40.763370513916016,2,N,-73.78221893310547,40.64421463012695,2,52.0,0.0,0.5,0.0,0.0,0.3,52.8
114901,1,2016-06-01 05:20:56,2016-06-01 05:50:21,1,17.8,-73.98585510253906,40.7590217590332,2,N,-73.78308868408203,40.6489372253418,1,52.0,0.0,0.5,11.65,5.54,0.3,69.99
114904,2,2016-06-01 05:20:59,2016-06-01 05:51:19,1,19.7,-73.9637222290039,40.77441787719727,2,N,-73.7901611328125,40.646839141845696,1,52.0,0.0,0.5,0.0,5.54,0.3,58.34
115004,2,2016-06-01 04:54:06,2016-06-01 05:20:25,1,19.59,-73.97242736816406,40.791160583496094,2,N,-73.78368377685547,40.64365005493164,1,52.0,0.0,0.5,10.0,5.54,0.3,68.34
115037,1,2016-06-01 05:21:23,2016-06-01 05:42:39,1,16.5,-73.98284149169923,40.73938751220703,2,N,-73.78179931640625,40.644386291503906,1,52.0,0.0,0.5,11.65,5.54,0.3,69.99
115156,1,2016-06-01 04:55:01,2016-06-01 05:21:22,1,19.5,-73.95936584472656,40.76318740844727,2,N,-73.78385162353516,40.64356231689453,1,52.0,0.0,0.5,11.65,5.54,0.3,69.99
115183,1,2016-06-01 05:22:16,2016-06-01 05:46:26,1,16.9,-73.98373413085938,40.74953842163085,2,N,-73.79027557373048,40.64443588256836,1,52.0,0.0,0.5,7.0,5.54,0.3,65.34
115194,2,2016-06-01 05:22:34,2016-06-01 05:43:24,1,16.46,-73.98341369628906,40.73852157592773,2,N,-73.79158020019531,40.6447868347168,1,52.0,0.0,0.5,11.67,5.54,0.3,70.01
115238,2,2016-06-01 04:19:31,2016-06-01 04:44:04,1,16.29,-73.9812774658203,40.75041961669922,2,N,-73.78996276855469,40.64693832397461,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34
115241,2,2016-06-01 04:19:34,2016-06-01 04:42:36,1,17.26,-73.97289276123048,40.75334930419922,2,N,-73.78768157958984,40.6475715637207,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34
115261,2,2016-06-01 04:19:59,2016-06-01 04:57:30,6,20.61,-74.00257110595702,40.7217903137207,2,N,-73.7763671875,40.64588928222656,1,52.0,0.0,0.5,10.56,0.0,0.3,63.36
115373,2,2016-06-01 04:55:24,2016-06-01 05:20:42,3,18.49,-74.00154876708984,40.72132873535156,2,N,-73.7763671875,40.64572143554688,1,52.0,0.0,0.5,10.56,0.0,0.3,63.36
115380,2,2016-06-01 04:55:30,2016-06-01 05:19:49,4,17.43,-73.99224853515625,40.74360656738281,2,N,-73.78373718261719,40.64363098144531,1,52.0,0.0,0.5,11.67,5.54,0.3,70.01
115388,1,2016-06-01 04:55:41,2016-06-01 05:25:49,1,21.6,-74.01289367675781,40.71000289916992,2,N,-73.7771224975586,40.64458847045898,1,52.0,0.0,0.5,10.0,5.54,0.3,68.34
115401,1,2016-06-01 04:56:04,2016-06-01 05:26:18,1,16.3,-73.98326110839844,40.74463653564453,2,N,-73.78888702392578,40.64158630371094,1,52.0,0.0,0.5,11.66,5.54,0.3,70.0
115406,2,2016-06-01 04:56:09,2016-06-01 05:24:20,5,19.26,-73.95336151123048,40.78181076049805,2,N,-73.77694702148438,40.64466094970703,1,52.0,0.0,0.5,14.58,5.54,0.3,72.92
115412,2,2016-06-01 04:56:14,2016-06-01 05:16:20,5,16.34,-73.97254943847656,40.749168395996094,2,N,-73.78378295898438,40.64358139038085,1,52.0,0.0,0.5,11.67,5.54,0.3,70.01
115438,1,2016-06-01 04:57:01,2016-06-01 05:31:28,2,20.4,-73.97855377197266,40.78342819213867,2,N,-73.777099609375,40.64460754394531,1,52.0,0.0,0.5,11.65,5.54,0.3,69.99
115450,2,2016-06-01 04:20:55,2016-06-01 04:41:27,1,16.41,-73.96988677978516,40.75281143188477,2,N,-73.78250885009766,40.64636993408203,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34
115516,1,2016-06-01 04:22:16,2016-06-01 04:47:57,2,17.5,-73.98951721191406,40.734458923339844,2,N,-73.77672576904298,40.64479064941406,2,52.0,0.0,0.5,0.0,5.8,0.3,58.6
115572,2,2016-06-01 03:55:10,2016-06-01 04:21:22,1,17.36,-73.97978973388672,40.76197052001953,2,N,-73.7879409790039,40.64146041870117,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34
115577,1,2016-06-01 03:55:30,2016-06-01 04:23:14,2,18.1,-73.98701477050781,40.76041030883789,2,N,-73.79034423828125,40.64674758911133,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34
115604,2,2016-06-01 05:24:16,2016-06-01 05:47:57,1,16.93,-73.98725128173827,40.73899841308594,2,N,-73.78884887695312,40.647315979003906,1,52.0,0.0,0.5,17.5,5.54,0.3,75.84
115605,2,2016-06-01 05:24:18,2016-06-01 05:51:21,1,18.01,-73.9818115234375,40.7686653137207,2,N,-73.78849029541014,40.6414794921875,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34
115609,1,2016-06-01 05:24:26,2016-06-01 05:52:03,1,21.5,-74.01465606689453,40.71122741699219,2,N,-73.7786865234375,40.6450424194336,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34
115648,2,2016-06-01 04:57:29,2016-06-01 05:32:17,1,20.88,-73.9832305908203,40.78120803833008,2,N,-73.78986358642578,40.64700317382813,1,52.0,0.0,0.5,14.58,5.54,0.3,72.92
115651,1,2016-06-01 04:57:33,2016-06-01 05:18:36,6,16.7,-73.98524475097656,40.73567199707031,2,N,-73.7907943725586,40.64432144165039,1,52.0,0.0,0.5,4.0,5.54,0.3,62.34
115652,1,2016-06-01 04:57:34,2016-06-01 05:22:40,1,16.9,-73.98869323730467,40.74839782714844,2,N,-73.78898620605469,40.64146423339844,1,52.0,0.0,0.5,2.0,5.54,0.3,60.34
115668,2,2016-06-01 04:57:49,2016-06-01 05:25:59,1,18.99,-73.96121978759766,40.81201934814453,2,N,-73.77711486816406,40.64466094970703,1,52.0,0.0,0.5,11.67,5.54,0.3,70.01
115677,2,2016-06-01 03:56:01,2016-06-01 04:24:30,2,17.3,-73.99822235107422,40.757488250732415,2,N,-73.78907012939453,40.645301818847656,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34
115690,2,2016-06-01 03:56:27,2016-06-01 04:20:11,4,18.25,-73.99526977539062,40.754695892333984,2,N,-73.77818298339844,40.64685821533203,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34
115723,1,2016-06-01 04:22:54,2016-06-01 04:51:43,1,17.5,-73.98221588134766,40.76700973510742,2,N,-73.78897857666014,40.64725875854492,1,52.0,0.0,0.5,10.55,0.0,0.3,63.35
115774,2,2016-06-01 04:58:43,2016-06-01 05:28:01,1,20.15,-73.9740219116211,40.78314208984375,2,N,-73.78370666503906,40.64367294311523,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34
115803,1,2016-06-01 03:57:17,2016-06-01 04:18:01,1,18.3,-73.94925689697266,40.777156829833984,2,N,-73.78594207763672,40.64346694946289,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34
115814,2,2016-06-01 03:57:34,2016-06-01 04:27:59,1,17.43,-73.98348236083984,40.76250076293945,2,N,-73.79063415527344,40.64430618286133,1,52.0,0.0,0.5,10.56,0.0,0.3,63.36
115829,1,2016-06-01 05:24:59,2016-06-01 05:47:42,1,17.1,-73.98562622070312,40.73521423339844,2,N,-73.77696990966798,40.64468002319336,1,52.0,0.0,0.5,14.55,5.54,0.3,72.89
115834,2,2016-06-01 05:25:04,2016-06-01 05:53:40,1,21.69,-74.01371002197266,40.71429443359375,2,N,-73.77640533447266,40.64571380615234,1,52.0,0.0,0.5,11.67,5.54,0.3,70.01
115888,1,2016-06-01 04:24:28,2016-06-01 04:52:57,1,18.4,-73.96926879882812,40.78559875488281,2,N,-73.7868881225586,40.64717483520508,2,52.0,0.0,0.5,0.0,0.0,0.3,52.8
115915,1,2016-06-01 03:58:31,2016-06-01 04:22:18,2,16.9,-73.98025512695312,40.75651550292969,2,N,-73.79031372070312,40.64372634887695,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34
115931,1,2016-06-01 05:39:20,2016-06-01 06:07:22,3,17.5,-73.99427032470702,40.75101089477539,2,N,-73.7765884399414,40.64494323730469,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34
115933,2,2016-06-01 05:39:20,2016-06-01 06:13:23,1,19.73,-73.97454833984375,40.793453216552734,2,N,-73.78195953369139,40.646888732910156,1,52.0,0.0,0.5,14.58,5.54,0.3,72.92
115968,1,2016-06-01 05:39:44,2016-06-01 06:09:09,1,16.7,-73.9892578125,40.75840759277344,2,N,-73.78270721435547,40.6440658569336,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34
116026,1,2016-06-01 05:25:59,2016-06-01 05:56:07,1,18.7,-73.98778533935547,40.76806640625,2,N,-73.78282928466798,40.64881896972656,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34
116035,1,2016-06-01 05:26:07,2016-06-01 05:50:00,2,18.4,-73.94998931884766,40.78437423706055,2,N,-73.78713989257811,40.64753341674805,1,52.0,0.0,0.5,11.65,5.54,0.3,69.99
116082,2,2016-06-01 04:25:36,2016-06-01 04:55:11,1,20.98,-74.01652526855469,40.706581115722656,2,N,-73.78180694580078,40.644386291503906,1,52.0,0.0,0.5,13.2,0.0,0.3,66.0
116097,2,2016-06-01 05:39:55,2016-06-01 06:04:25,2,18.25,-73.95980834960938,40.767051696777344,2,N,-73.80753326416014,40.65681838989258,1,52.0,0.0,0.5,11.0,5.54,0.3,69.34
116107,1,2016-06-01 05:40:02,2016-06-01 06:06:39,1,16.7,-73.95850372314453,40.7688865661621,2,N,-73.7765121459961,40.64514541625977,1,52.0,0.0,0.5,10.55,0.0,0.3,63.35
116114,1,2016-06-01 05:40:07,2016-06-01 06:08:46,2,17.3,-73.98445129394531,40.75741195678711,2,N,-73.78893280029298,40.6415901184082,1,52.0,0.0,0.5,11.66,5.54,0.3,70.0
116129,2,2016-06-01 05:00:14,2016-06-01 05:27:04,1,17.25,-73.97757720947266,40.76142883300781,2,N,-73.78180694580078,40.64659881591797,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34
116150,2,2016-06-01 05:00:46,2016-06-01 05:29:30,1,20.92,-73.98065185546875,40.770263671875,2,N,-73.7891845703125,40.64465713500977,1,52.0,0.0,0.5,14.58,5.54,0.3,72.92
116152,1,2016-06-01 05:00:49,2016-06-01 05:24:02,1,16.5,-73.97252655029298,40.74580001831055,2,N,-73.77924346923827,40.645118713378906,1,52.0,0.0,0.5,11.65,5.54,0.3,69.99
116175,1,2016-06-01 05:26:36,2016-06-01 05:51:18,1,16.9,-73.96894073486328,40.7637825012207,2,N,-73.78929138183594,40.64178085327149,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34
116177,1,2016-06-01 05:26:39,2016-06-01 05:55:46,1,20.4,-73.97628784179686,40.78092956542969,2,N,-73.79900360107422,40.6450309753418,1,52.0,0.0,0.5,17.5,5.54,0.3,75.84
116192,1,2016-06-01 05:26:55,2016-06-01 05:55:00,1,19.1,-73.95465087890625,40.76957321166992,2,N,-73.78973388671875,40.64703369140625,1,52.0,0.0,0.5,7.0,5.54,0.3,65.34
116203,1,2016-06-01 05:27:07,2016-06-01 06:00:23,2,19.7,-73.96845245361328,40.79964065551758,2,N,-73.78345489501955,40.64381408691406,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34
116210,1,2016-06-01 04:26:05,2016-06-01 04:52:57,2,20.1,-73.97661590576173,40.76580047607422,2,N,-73.78545379638672,40.64313125610352,1,52.0,0.0,0.5,10.55,0.0,0.3,63.35
116238,1,2016-06-01 04:26:54,2016-06-01 04:53:59,1,17.3,-73.9948959350586,40.75019836425781,2,N,-73.7764129638672,40.64519119262695,1,52.0,0.0,0.5,11.65,5.54,0.3,69.99
116242,1,2016-06-01 05:40:15,2016-06-01 06:06:28,2,18.4,-73.98321533203125,40.76101303100585,2,N,-73.77664184570312,40.64507675170898,1,52.0,0.0,0.5,11.65,5.54,0.3,69.99
116280,2,2016-06-01 05:01:06,2016-06-01 05:27:07,1,19.02,-73.95584106445312,40.78165054321289,2,N,-73.7889404296875,40.6473503112793,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34
116294,2,2016-06-01 05:01:34,2016-06-01 05:26:20,5,18.12,-73.98755645751955,40.72529983520508,2,N,-73.78995513916014,40.64693832397461,1,52.0,0.0,0.5,13.2,0.0,0.3,66.0
116303,2,2016-06-01 05:01:49,2016-06-01 05:25:14,1,17.25,-73.98573303222656,40.7563362121582,2,N,-73.78321075439453,40.64384078979492,1,52.0,0.0,0.5,14.58,5.54,0.3,72.92
116355,2,2016-06-01 05:27:58,2016-06-01 06:00:35,2,18.17,-73.99976348876955,40.74850845336913,2,N,-73.77664947509766,40.64495086669922,1,52.0,0.0,0.5,11.67,5.54,0.3,70.01
116376,2,2016-06-01 04:27:32,2016-06-01 04:50:38,6,17.08,-73.98504638671875,40.74769973754883,2,N,-73.77632904052734,40.6455192565918,1,52.0,0.0,0.5,14.58,5.54,0.3,72.92
116381,1,2016-06-01 04:27:42,2016-06-01 04:49:51,1,17.4,-73.98332214355469,40.7386474609375,2,N,-73.77707672119139,40.644615173339844,1,52.0,0.0,0.5,11.65,5.54,0.3,69.99
116382,2,2016-06-01 04:27:44,2016-06-01 04:52:24,1,17.49,-73.97499084472656,40.76509094238281,2,N,-73.79023742675781,40.646820068359375,1,52.0,0.0,0.5,5.0,5.54,0.3,63.34
116384,2,2016-06-01 04:27:47,2016-06-01 04:51:39,1,16.51,-73.97418975830078,40.74985122680664,2,N,-73.79019165039062,40.64685821533203,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34
116391,2,2016-06-01 04:27:58,2016-06-01 04:53:17,1,19.69,-73.95549774169923,40.76838684082031,2,N,-73.77986145019531,40.64553833007813,1,52.0,0.0,0.5,12.66,5.54,0.3,71.0
116392,1,2016-06-01 04:28:01,2016-06-01 04:55:26,3,17.2,-73.9800796508789,40.76248168945313,2,N,-73.78252410888672,40.64879989624024,2,52.0,0.0,0.5,0.0,0.0,0.3,52.8
116404,1,2016-06-01 05:40:44,2016-06-01 06:05:33,2,16.7,-73.96221923828125,40.7636604309082,2,N,-73.77772521972656,40.644752502441406,1,52.0,0.0,0.5,13.2,0.0,0.3,66.0
116444,1,2016-06-01 05:02:27,2016-06-01 05:30:10,1,16.8,-73.9586639404297,40.768402099609375,2,N,-73.77763366699219,40.6446533203125,1,52.0,0.0,0.5,4.0,0.0,0.3,56.8
116468,2,2016-06-01 05:03:15,2016-06-01 05:26:23,1,16.99,-73.98486328125,40.744941711425774,2,N,-73.77742767333984,40.64464950561523,1,52.0,0.0,0.5,11.67,5.54,0.3,70.01
116560,1,2016-06-01 04:29:27,2016-06-01 04:56:09,2,18.0,-74.0059585571289,40.73586654663085,2,N,-73.78578186035155,40.643333435058594,1,52.0,0.0,0.5,6.0,5.54,0.3,64.34
116593,2,2016-06-01 05:41:08,2016-06-01 06:20:03,4,20.93,-73.97937774658203,40.77761459350585,2,N,-73.78999328613281,40.646881103515625,1,52.0,0.0,0.5,10.0,5.54,0.3,68.34
116631,1,2016-06-01 05:03:48,2016-06-01 05:34:23,2,20.8,-73.97500610351562,40.78264236450195,2,N,-73.78247833251955,40.6488037109375,1,52.0,0.0,0.5,17.5,5.54,0.3,75.84
116635,1,2016-06-01 05:03:54,2016-06-01 05:27:10,3,17.2,-73.97384643554686,40.754749298095696,2,N,-73.78292846679686,40.64879608154297,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34
116640,2,2016-06-01 05:04:09,2016-06-01 05:30:05,6,17.78,-73.99954986572266,40.723628997802734,2,N,-73.78311920166014,40.64897155761719,2,52.0,0.0,0.5,0.0,0.0,0.3,52.8
116672,1,2016-06-01 05:29:09,2016-06-01 05:53:45,1,17.6,-73.98161315917969,40.73255920410156,2,N,-73.77678680419923,40.644691467285156,1,52.0,0.0,0.5,14.55,5.54,0.3,72.89
116676,1,2016-06-01 05:29:13,2016-06-01 05:56:46,1,18.9,-73.9574966430664,40.78274917602539,2,N,-73.7828140258789,40.64402389526367,1,52.0,0.0,0.5,11.66,5.54,0.3,70.0
116686,1,2016-06-01 05:29:19,2016-06-01 05:58:23,2,17.2,-73.98662567138672,40.7515983581543,2,N,-73.78337860107422,40.64379501342773,1,52.0,0.0,0.5,11.65,5.54,0.3,69.99
116696,1,2016-06-01 05:29:25,2016-06-01 05:56:13,1,18.1,-73.99808502197266,40.73929214477539,2,Y,-73.78020477294923,40.645957946777344,1,52.0,0.0,0.5,10.0,5.54,0.3,68.34
116718,1,2016-06-01 04:30:49,2016-06-01 04:56:52,1,16.4,-73.96861267089844,40.764076232910156,2,N,-73.78309631347656,40.64889526367188,2,52.0,0.0,0.5,0.0,0.0,0.3,52.8
116731,1,2016-06-01 04:31:18,2016-06-01 05:03:27,1,18.6,-73.97367858886719,40.79201126098633,2,N,-73.78955841064453,40.64707565307617,1,52.0,0.0,0.5,10.55,0.0,0.3,63.35
116733,1,2016-06-01 04:31:26,2016-06-01 04:55:34,1,18.5,-73.95039367675781,40.77537536621094,2,N,-73.77826690673827,40.644962310791016,1,52.0,0.0,0.5,11.65,5.54,0.3,69.99
116793,1,2016-06-01 05:42:12,2016-06-01 06:10:51,1,17.8,-73.99064636230467,40.761146545410156,2,N,-73.77645874023438,40.64581298828125,1,52.0,0.0,0.5,5.5,0.0,0.3,58.3
116819,2,2016-06-01 05:04:53,2016-06-01 05:27:33,1,17.31,-73.99089813232422,40.73033905029297,2,N,-73.78394317626955,40.64355850219727,1,52.0,0.0,0.5,11.67,5.54,0.3,70.01
116883,2,2016-06-01 05:42:52,2016-06-01 06:08:32,1,17.1,-73.98919677734375,40.75754165649415,2,N,-73.7889404296875,40.64733123779297,1,52.0,0.0,0.5,8.0,5.54,0.3,66.34
116905,1,2016-06-01 05:29:51,2016-06-01 05:52:12,1,17.2,-73.9700698852539,40.75953674316406,2,N,-73.78408813476562,40.643470764160156,1,52.0,0.0,0.5,10.5,5.54,0.3,68.84
116910,1,2016-06-01 05:29:59,2016-06-01 06:03:50,1,20.7,-73.97882080078125,40.78237533569336,2,N,-73.7821044921875,40.64461135864258,1,52.0,0.0,0.5,11.65,5.54,0.3,69.99
116984,2,2016-06-01 04:32:10,2016-06-01 04:57:23,1,17.66,-73.99323272705078,40.729591369628906,2,N,-73.78460693359375,40.6432991027832,1,52.0,0.0,0.5,5.0,5.54,0.3,63.34
116987,2,2016-06-01 04:32:13,2016-06-01 05:04:31,4,20.48,-73.97570037841797,40.78936004638672,2,N,-73.77642059326173,40.64548110961913,1,52.0,0.0,0.5,5.0,5.54,0.3,63.34
117073,1,2016-06-01 05:30:45,2016-06-01 06:00:28,4,17.4,-73.99011993408203,40.75114822387695,2,N,-73.78285217285155,40.6488151550293,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34
117081,2,2016-06-01 05:06:55,2016-06-01 05:40:26,6,21.22,-73.98634338378906,40.77751922607422,2,N,-73.78994750976562,40.646949768066406,1,52.0,0.0,0.5,11.67,5.54,0.3,70.01
117085,2,2016-06-01 05:07:03,2016-06-01 05:34:33,3,20.82,-73.96432495117188,40.75640106201172,2,N,-73.77664184570312,40.646480560302734,1,52.0,0.0,0.5,11.67,5.54,0.3,70.01
117151,2,2016-06-01 04:33:45,2016-06-01 04:59:24,1,17.87,-73.99490356445312,40.74483108520508,2,N,-73.77649688720702,40.6450309753418,1,52.0,0.0,0.5,5.0,5.54,0.3,63.34
117209,1,2016-06-01 05:31:03,2016-06-01 05:58:36,2,18.1,-73.97681427001955,40.76601791381836,2,N,-73.77659606933594,40.646461486816406,1,52.0,0.0,0.5,12.75,11.08,0.3,76.63
117210,2,2016-06-01 05:31:05,2016-06-01 06:04:02,3,18.52,-73.98845672607422,40.73205184936523,2,N,-73.77664947509766,40.64485549926758,1,52.0,0.0,0.5,7.0,0.0,0.3,59.8
117214,2,2016-06-01 05:31:06,2016-06-01 06:00:44,5,17.92,-73.99590301513672,40.75397872924805,2,N,-73.77638244628906,40.64588928222656,1,52.0,0.0,0.5,11.67,5.54,0.3,70.01
117230,1,2016-06-01 05:08:04,2016-06-01 05:34:52,1,18.9,-73.95361328125,40.77082824707031,2,N,-73.78384399414062,40.64360427856445,1,52.0,0.0,0.5,11.65,5.54,0.3,69.99
117237,2,2016-06-01 05:08:21,2016-06-01 05:30:22,1,16.46,-73.97689819335938,40.74919128417969,2,N,-73.77837371826173,40.64680099487305,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34
117238,2,2016-06-01 05:08:21,2016-06-01 05:36:40,1,17.62,-73.9738998413086,40.76395034790039,2,N,-73.78195190429686,40.64439010620117,1,52.0,0.0,0.5,10.56,0.0,0.3,63.36
117267,1,2016-06-01 05:09:01,2016-06-01 05:34:00,2,16.8,-73.98558044433594,40.75597763061523,2,N,-73.7840118408203,40.643569946289055,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34
117274,2,2016-06-01 05:44:08,2016-06-01 06:05:00,3,15.69,-73.97899627685547,40.7476921081543,2,N,-73.7904052734375,40.64377212524415,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34
