,VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount
42704,1,2016-06-09 22:52:54,2016-06-09 23:37:03,2,16.8,-73.98807525634766,40.74958801269531,2,N,-73.78238677978516,40.64419937133789,1,52.0,0.0,0.5,11.65,5.54,0.3,69.99
43027,2,2016-06-09 22:56:40,2016-06-09 23:38:31,1,22.19,-73.99302673339844,40.76813888549805,2,N,-73.7825469970703,40.64411926269531,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34
43527,2,2016-06-09 22:57:00,2016-06-09 23:47:20,2,19.15,-74.0018081665039,40.709903717041016,2,N,-73.79450988769531,40.644695281982415,1,52.0,0.0,0.5,10.56,0.0,0.3,63.36
44091,1,2016-06-09 22:53:48,2016-06-09 23:32:02,1,15.8,-73.99078369140625,40.7457275390625,2,N,-73.80252838134766,40.64757919311523,1,52.0,0.0,0.5,8.0,5.54,0.3,66.34
44456,2,2016-06-09 22:57:42,2016-06-09 23:47:20,1,18.08,-74.00334167480467,40.72399139404297,2,N,-73.78294372558594,40.64889907836913,2,52.0,0.0,0.5,0.0,0.0,0.3,52.8
44498,1,2016-06-09 22:47:43,2016-06-09 23:24:58,1,16.5,-73.97164916992188,40.75130462646485,2,N,-73.78225708007811,40.64423370361328,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34
44929,2,2016-06-09 22:57:56,2016-06-09 23:46:04,1,17.06,-73.98289489746094,40.75681686401367,2,N,-73.78273773193358,40.64879608154297,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34
47729,2,2016-06-09 23:04:31,2016-06-09 23:54:14,1,19.97,-74.0077133178711,40.70520782470703,2,N,-73.7821273803711,40.64431381225585,1,52.0,0.0,0.5,10.56,0.0,0.3,63.36
47839,1,2016-06-09 23:01:05,2016-06-09 23:53:47,3,17.9,-73.98017883300781,40.72697067260742,2,N,-73.78957366943358,40.642860412597656,1,52.0,0.0,0.5,11.65,5.54,0.3,69.99
49746,1,2016-06-09 23:05:53,2016-06-09 23:58:04,1,21.9,-74.00753021240234,40.74084854125977,2,Y,-73.77631378173827,40.64525985717773,1,52.0,0.0,0.5,5.0,5.54,0.3,63.34
50586,1,2016-06-09 23:02:48,2016-06-09 23:31:15,1,18.8,-73.94869995117188,40.77374649047852,2,N,-73.78253173828125,40.64880752563477,1,52.0,0.0,0.5,4.0,5.54,0.3,62.34
51415,1,2016-06-09 23:13:51,2016-06-10 00:11:50,1,17.3,-74.00231170654298,40.75599670410156,2,N,-73.78594970703125,40.64340591430664,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34
51523,2,2016-06-09 23:07:08,2016-06-09 23:45:59,6,17.23,-73.98919677734375,40.7587890625,2,N,-73.7824935913086,40.64414978027344,1,52.0,0.0,0.5,11.67,5.54,0.3,70.01
55113,2,2016-06-09 23:17:43,2016-06-09 23:51:56,1,19.13,-73.96803283691406,40.79219055175781,2,N,-73.79004669189453,40.643379211425774,1,52.0,0.0,0.5,5.0,5.54,0.3,63.34
55216,2,2016-06-09 23:21:43,2016-06-10 00:17:53,2,21.18,-73.99388122558594,40.74151992797852,1,N,-73.8035888671875,40.65914916992188,1,63.5,0.5,0.5,14.07,5.54,0.3,84.41
55328,2,2016-06-09 23:17:58,2016-06-10 00:10:50,5,17.9,-73.9998779296875,40.73291015625,2,N,-73.79013061523438,40.64345932006836,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34
55619,2,2016-06-09 23:23:59,2016-06-09 23:52:58,5,18.48,-73.94657135009766,40.78153991699219,2,N,-73.78209686279298,40.644290924072266,1,52.0,0.0,0.5,10.0,5.54,0.3,68.34
55745,1,2016-06-09 23:26:19,2016-06-10 00:13:57,2,17.5,-73.98616790771484,40.75195693969727,2,N,-73.78269958496094,40.64882278442383,2,52.0,0.0,0.5,0.0,5.54,0.3,58.34
56500,2,2016-06-09 23:22:43,2016-06-10 00:17:25,5,17.83,-73.985107421875,40.75046157836913,2,N,-73.79004669189453,40.64334487915039,1,52.0,0.0,0.5,13.2,0.0,0.3,66.0
56698,1,2016-06-09 23:24:41,2016-06-10 00:01:07,1,20.8,-73.9820327758789,40.768402099609375,2,N,-73.78296661376955,40.64888000488281,1,52.0,0.0,0.5,11.65,5.54,0.3,69.99
62431,2,2016-06-09 23:46:58,2016-06-10 00:25:26,3,21.7,-73.97090148925781,40.75551986694336,2,N,-73.78968048095702,40.64284896850585,1,52.0,0.0,0.5,14.58,5.54,0.3,72.92
62640,1,2016-06-09 23:50:58,2016-06-10 00:38:41,1,18.0,-73.98944091796875,40.767932891845696,2,N,-73.78961181640625,40.6465072631836,1,52.0,0.0,0.5,15.8,0.0,0.3,68.6
